experimentID,oesID
EX1,OES2
EX1,OES3
EX1,OES5
EX1,OES7
EX2,OES2
EX2,OES3
EX2,OES5
EX2,OES6
EX2,OES7
EX3,OES1
EX3,OES2
EX3,OES3
EX3,OES4
EX3,OES5
