extInfluenceID,influenceID
E1,I1
E1,I2
E1,I5
E1,I7
E1,I9
E1,I14
E1,I15
E1,I17
E1,I22
E2,I5
E2,I1
E2,I2
E2,I7
E2,I9
E2,I10
E2,I11
E2,I12
E2,I13
E2,I14
E2,I15
E2,I17
E2,I22
E3,I1
E3,I5
E3,I7
E3,I9
E3,I10
E3,I11
E3,I12
E3,I13
E3,I14
E3,I15
E3,I22
E4,I10
E4,I11
E4,I12
E4,I13
E4,I14
E4,I15
E5,I5
E5,I7
E5,I9
E5,I14
E5,I15
E6,I5
E6,I10
E6,I11
E6,I12
E6,I13
E6,I14
E6,I15
E7,I5
E7,I10
E7,I11
E7,I12
E7,I13
E7,I14
E7,I15
E8,I10
E8,I11
E8,I12
E8,I13
E8,I14
E9,I1
E9,I2
E9,I5
E9,I7
E9,I9
E9,I14
E9,I15
E10,I2
E10,I14
E10,I16
E10,I17
E10,I19
E11,I2
E11,I5
E11,I14
E12,I4
E12,I3
E12,I16
E12,I17
E12,I18
E12,I19
E12,I20
E12,I21
E12,I22
E12,I23
E13,I3
E13,I4
E13,I10
E13,I16
E13,I18
E13,I19
E13,I20
E13,I21
E13,I22
E13,I23
E14,I5
E14,I6
E14,I7
E14,I8
E14,I9
E14,I14
E14,I15
E14,I17
E14,I18
E14,I19
E15,I10
E15,I11
E15,I12
E15,I13
E15,I14
E16,I10
E16,I11
E16,I12
E16,I13
E16,I14
E17,I1
E17,I5
E17,I7
E17,I8
E17,I9
E17,I12
E17,I13
E17,I18
E17,I19
E17,I20
E17,I21
E17,I22
